Location,Reactor Name,Model,Reactor Type,Net Capacity (MWe),Construction Start,First Grid Connection,Status,Country,
,Zheleznogorsk MCC,VBER-300,PWR,300,,,Proposed,Russia,
,Zheleznogorsk MCC,VBER-300,PWR,300,,,Proposed,Russia,
,Tver 1,VVER-1200,PWR,1200,,,Proposed,Russia,
,Tver 2,VVER-1200,PWR,1200,,,Proposed,Russia,
,Tver 3,VVER-1200,PWR,1200,,,Proposed,Russia,
,Tver 4,VVER-1200,PWR,1200,,,Proposed,Russia,
,Nizhny Novgorod 3,VVER-TOI,PWR,1255,,,Proposed,Russia,
,Nizhny Novgorod 4,VVER-TOI,PWR,1255,,,Proposed,Russia,
,Tsentral 3,VVER-TOI,PWR,1255,,,Proposed,Russia,
,Tsentral 4,VVER-TOI,PWR,1255,,,Proposed,Russia,
,Beloyarsk 6,BN-1200/1600,PWR,1220/1600,,,Proposed (approved),Russia,
,Sakha,ABV-6,PWR,18x2,,,Proposed,Russia,
,Balakovo 5&6,VVER-1000,PWR,1000x2,,,Formerly proposed RUSAL,Russia,
,Baltic 1&2 (Kaliningrad),VVER-1200/V-491,PWR,1170x2,,,Suspended,Russia,
,Genkai 3,M (4-loop),PWR,1127,,1993-06,Working,Japan,
,Genkai 4,M (4-loop),PWR,1127,,1996-11,Working,Japan,
,Hamaoka 3,BWR-5,BWR,1056,,1987-01,Working,Japan,
,Hamaoka 4,BWR-5,BWR,1092,,1993-01,Working,Japan,
,Hamaoka 5,ABWR,BWR,1325,,2004-04,Working,Japan,
,Higashi Dori 1 (Tohoku),BWR-5,BWR,1067,,2005-03,Working,Japan,
,Ikata 3,M (3-loop),PWR,846,,1994-03,Working,Japan,
,Kashiwazaki Kariwa 1,BWR-5,BWR,1067,,1985-02,Working,Japan,
,Kashiwazaki Kariwa 2,BWR-5,BWR,1067,,1990-02,Working,Japan,
,Kashiwazaki Kariwa 3,BWR-5,BWR,1067,,1992-12,Working,Japan,
,Kashiwazaki Kariwa 4,BWR-5,BWR,1067,,1993-12,Working,Japan,
,Kashiwazaki Kariwa 5,BWR-5,BWR,1067,,1989-09,Working,Japan,
,Kashiwazaki Kariwa 6,ABWR,BWR,1315,,1996-01,Working,Japan,
,Kashiwazaki Kariwa 7,ABWR,BWR,1315,,1996-12,Working,Japan,
,Mihama 3,M (3-loop),PWR,780,,1976-02,Working,Japan,
,Ohi 3,M (4-loop),PWR,1127,,1991-06,Working,Japan,
,Ohi 4,M (4-loop),PWR,1127,,1992-06,Working,Japan,
,Onagawa 2,BWR-5,BWR,796,,1994-12,Working,Japan,
,Onagawa 3,BWR-5,BWR,796,,2001-05,Working,Japan,
