,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
1250,Spiral (Rita Wayword),Excalibur (1988) #107,Excalibur (1988) #109,Excalibur (1988) #110,Longshot (1985) #1,Longshot (1985) #3,Longshot (1985) #4,Longshot (1985) #5,Longshot (1985) #6,Mr. and Mrs. X (2018) #8,New Mutants Classic Vol. 6 (Trade Paperback),Uncanny X-Force (2013) #5,Uncanny X-Force (2013) #6,Uncanny X-Men (1963) #199,Uncanny X-Men (1963) #200,Uncanny X-Men (1963) #209,Uncanny X-Men (1963) #223,Uncanny X-Men (1963) #225,Uncanny X-Men (1963) #226,Uncanny X-Men (1963) #236,Uncanny X-Men (1963) #256,,,,,,,,,,,,,,,
1251,Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Spitfire,Avengers/Invaders (2008) #1,Avengers/Invaders (2008) #9,Avengers/Invaders (2008) #10,Captain America (2004) #18,Captain America (2004) #19,Captain America (2004) #20,Captain America (2004) #21,CAPTAIN AMERICA: RED MENACE VOL. 2 TPB (Trade Paperback),Captain Britain and MI: 13 (2008) #3,Captain Britain and MI: 13 (2008) #5,Captain Britain and MI: 13 (2008) #6,Captain Britain and MI: 13 (2008) #11,Captain Britain and MI: 13 (2008) #12,Captain Britain and MI: 13 (2008) #15,Invaders (1975) #12,Invaders Now! (2010) #1,Invaders Now! (2010) #2,Invaders Now! (2010) #3,Invaders Now! (2010) #4,Invaders Now! (2010) #5,,,,,,,,,,,,,,,
1253,Spot,Amazing Spider-Man (1999) #645 (SPIDEY VS. VARIANT),Daredevil (2014) #0.1,Daredevil (2014) #1,Daredevil (2014) #2,Daredevil (2014) #3,Daredevil (2014) #4,Daredevil (2011) #21,Daredevil: Season One (2012) #1,Dark Reign: Mister Negative (2009) #1,Fantastic Four (1998) #38,Peter Parker, the Spectacular Spider-Man (1976) #99,Peter Parker, the Spectacular Spider-Man (1976) #100,Spider-Man: Miles Morales Vol. 4 (Trade Paperback),Super-Villain Team-Up/M.O.D.O.K.'s 11 (2007) #3,Amazing Spider-Man (1999) #589,Ultimate Spider-Man Infinite Comic (2016) #6,,,,,,,,,,,,,,,,,
1254,Sprite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Spyke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Squadron Sinister,Avengers (1963) #70,Avengers (1963) #85,Avengers (1963) #86,Avengers (1963) #141,Avengers (1963) #147,Avengers (1963) #148,Avengers: The Serpent Crown (Trade Paperback),New Thunderbolts (2004) #15,New Thunderbolts (2004) #16,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Squadron Supreme (Earth-712),Avengers (1998) #5,Avengers (1998) #6,Avengers (1963) #85,Avengers Assemble (Hardcover),Captain America (1968) #314,Paradise X (2002) #11,Squadron Supreme (Trade Paperback),Squadron Supreme (Trade Paperback),Squadron Supreme (2008) #1,Squadron Supreme (2006) #1,Squadron Supreme (1985) #1,Squadron Supreme (1985) #2,Squadron Supreme (2008) #2,Squadron Supreme (2006) #2,Squadron Supreme (1985) #3,Squadron Supreme (2008) #3,Squadron Supreme (2006) #3,Squadron Supreme (2008) #3 (MONKEY VARIANT (1 FOR 10)),Squadron Supreme (1985) #4,Squadron Supreme (2006) #4,,,,,,,,,,,,,,,
1258,Squirrel Girl,Marvel New Year's Eve Special Infinite Comic (2017) #1,Age of Heroes (2010) #1,Age of Heroes (2010) #2,Age of Heroes (2010) #3,Age of Heroes (2010) #4,AGE OF HEROES TPB (Trade Paperback),All-New Wolverine (2015) #7,All-New, All-Different Avengers Annual (2016) #1,Amazing Spider-Man (1999) #653,Deadpool Classic Vol. 21: DvX (Trade Paperback),Deadpool: Too Soon? Infinite Comic (2016) #1,Deadpool: Too Soon? Infinite Comic (2016) #2,Deadpool: Too Soon? Infinite Comic (2016) #3,Deadpool: Too Soon? Infinite Comic (2016) #7,Deadpool: Too Soon? Infinite Comic (2016) #8,DEADPOOL: TOO SOON? TPB (Trade Paperback),G.L.a. (2005) #1,Marvel Action Avengers (2020) #2,Marvel Action Captain Marvel (2021) #4,Marvel Action Captain Marvel (2021) #5,,,,,,,,,,,,,,
1259,Stacy X,Avengers (1998) #60,Avengers Vol. 1: World Trust (Trade Paperback),Call, the Vol. 2: The Precinct (Trade Paperback),Captain America (2002) #6,Captain Marvel (2000) #3,Captain Marvel Vol. 1: Nothing to Lose (Trade Paperback),Captain Marvel Vol. I (Trade Paperback),Decimation: Generation M (Trade Paperback),Generation M (2005) #2,Killraven (2002) #2,KILLRAVEN PREMIERE HC (Hardcover),Marvel Double-Shot (2003) #1,New Warriors (2007) #6,New X-Men (Hardcover),New X-Men (2001) #134,Uncanny X-Men (1963) #399,Uncanny X-Men (1963) #400,Uncanny X-Men (1963) #401,Uncanny X-Men (1963) #402,Uncanny X-Men (1963) #403,,,,,,,,,,,,,,
1260,Stacy X (Ultimate),Ultimate X-Men (2001) #24,Ultimate X-Men (2001) #25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Star Brand,Avengers (2012) #34.2,Avengers World (2014) #14,Marvel Legacy (2017) #1,Marvel Legacy (Hardcover),Marvel Universe by John Byrne Omnibus Vol. 2 (Hardcover),New Avengers (2013) #1,New Avengers (2013) #2,New Avengers (2013) #27,Secret Empire: Brave New World (2017) #3,Secret Empire: Brave New World (Trade Paperback),Star Brand (1986) #1,Star Brand (1986) #2,Star Brand (1986) #3,Star Brand (1986) #4,Star Brand (1986) #5,Star Brand (1986) #6,Star Brand (1986) #7,Star Brand (1986) #8,Star Brand (1986) #9,Star Brand (1986) #10,,,,,,,,,,,,,,,
1262,Star-Lord (Peter Quill),ALL-NEW GUARDIANS OF THE GALAXY VOL. 1: COMMUNICATION BREAKDOWN TPB (Trade Paperback),All-New Guardians of the Galaxy Vol. 2: Riders in the Sky (Trade Paperback),All-New X-Men (2012) #24 (Keown Variant),ANNIHILATION CLASSIC HC (Hardcover),Annihilation: Conquest (2007) #1,Annihilation: Conquest (2007) #2,Annihilation: Conquest (2007) #3,Annihilation: Conquest (2007) #4,Annihilation: Conquest (2007) #5,Annihilation: Conquest (2007) #6,Annihilation: Conquest - Starlord (2007) #1,Annihilation: Conquest - Starlord (2007) #2,Annihilation: Conquest - Starlord (2007) #3,Annihilation: Conquest - Starlord (2007) #4,Avengers Unlimited Infinity Comic (2022) #43,Captain Marvel (2014) #1,Captain Marvel (2014) #2,Captain Marvel (2014) #3,Captain Marvel (2014) #4,Captain Marvel (2014) #5,,,,,,,,,,,,,,,
1263,Starbolt,Fantastic Four/Inhumans (Trade Paperback),Inhumans (2000) #4,MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 2 HC (Hardcover),Uncanny X-Men (1963) #155,Uncanny X-Men (1963) #157,Uncanny X-Men Omnibus Vol. 1 (Hardcover),War of Kings (2009) #1,Uncanny X-Men (1963) #107,Uncanny X-Men (1963) #109,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,Stardust,Annihilation: Heralds of Galactus (2007) #1,Annihilation: Silver Surfer (2006) #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Starfox,A.X.E.: Starfox (2022) #1,Avengers (1998) #1,Avengers (1998) #2,Avengers (1998) #3,Avengers (1998) #4,Avengers (1998) #35,Avengers (1963) #232,Avengers (1963) #237,Avengers (1963) #238,Avengers (1963) #243,Avengers (1963) #246,Avengers (1963) #247,Avengers (1963) #248,Avengers Annual (1967) #14,Avengers Annual (1967) #16,Avengers Assemble (Hardcover),Avengers Assemble Vol. 4 (Hardcover),Avengers: Infinity (2000) #1,Avengers: Infinity (2000) #2,Avengers: Infinity (2000) #3,,,,,,,,,,,,,,,
1266,Starhawk (Stakar Ogord),Guardians of the Galaxy (1990) #1,Guardians of the Galaxy (1990) #2,Guardians of the Galaxy (1990) #3,Guardians of the Galaxy (1990) #4,Guardians of the Galaxy (1990) #5,Guardians of the Galaxy (1990) #6,Guardians of the Galaxy (1990) #7,Guardians of the Galaxy (1990) #8,Guardians of the Galaxy (1990) #9,Guardians of the Galaxy (1990) #10,Guardians of the Galaxy (1990) #11,Guardians of the Galaxy (1990) #12,Guardians of the Galaxy (1990) #13,Guardians of the Galaxy (1990) #14,Guardians of the Galaxy (1990) #15,Guardians of the Galaxy (1990) #16,Guardians of the Galaxy (1990) #19,Guardians of the Galaxy (1990) #20,Guardians of the Galaxy (1990) #21,Guardians of the Galaxy (1990) #22,,,,,,,,,,,,,,,
1267,Starjammers,Captain Marvel Annual (2022) #1,Classic X-Men (1986) #15,Cosmo the Spacedog Infinity Comic (2023) #5,ESSENTIAL X-MEN VOL. 4 TPB (Trade Paperback),Excalibur (1988) #69,Marvel Comics Presents (1988) #149,Starjammers (1995) #1,Starjammers (2004) #1,Starjammers (1995) #2,Starjammers (2004) #2,Starjammers (2004) #3,Starjammers (1995) #3,Cyclops (2014) #3,Starjammers (2004) #4,Starjammers (1995) #4,Starjammers (2004) #5,Starjammers (2004) #6,Starjammers (Trade Paperback),Uncanny X-Men (1963) #475,Uncanny X-Men (1963) #487,,,,,,,,,,,,,,,
1268,Stark Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Stature,Ant-Man (2020) #1,Avengers: The Children's Crusade - Young Avengers (2010) #1,Avengers: The Initiative (2007) #8,Civil War: Young Avengers & Runaways (2006) #1,Civil War: Young Avengers & Runaways (2006) #2,Civil War: Young Avengers & Runaways (2006) #3,Civil War: Young Avengers & Runaways (2006) #4,Incredible Hulks (2010) #607 (MCGUINNESS VARIANT),The Mighty Avengers (2007) #21,The Mighty Avengers (2007) #22,The Mighty Avengers (2007) #23,The Mighty Avengers (2007) #24,The Mighty Avengers (2007) #25,The Mighty Avengers (2007) #26,The Mighty Avengers (2007) #27,The Mighty Avengers (2007) #28,The Mighty Avengers (2007) #30,The Mighty Avengers (2007) #31,The Mighty Avengers (2007) #32,The Mighty Avengers (2007) #33,,,,,,,,,,,,,,,
1270,Steel Serpent (Davos),The Immortal Iron Fist (2006) #1,The Immortal Iron Fist (2006) #3,The Immortal Iron Fist (2006) #4,The Immortal Iron Fist (2006) #5,The Immortal Iron Fist (2006) #6,The Immortal Iron Fist (2006) #8,The Immortal Iron Fist (2006) #9,The Immortal Iron Fist (2006) #11,The Immortal Iron Fist (2006) #12,The Immortal Iron Fist (2006) #13,The Immortal Iron Fist (2006) #14,The Immortal Iron Fist (2006) #26,Immortal Iron Fist Vol. 1: The Last Iron Fist Story Premiere (Hardcover),Iron Fist (1996) #2,Iron Fist (1975) #14,Marvel Team-Up (1972) #64,,,,,,,,,,,,,,,,,,,
1271,Stegron,Captain America and Bucky (2011) #632,The Amazing Spider-Man (1963) #166,Venom (2016) #151,Venom (2016) #152,Venom (2016) #153,Venom Vol. 2: The Land Before Crime (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,Stellaris,Thor (1966) #438,Thor (1966) #439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Stepford Cuckoos,Cable (2020) #2,Cable (2020) #3,Cable (2020) #9,Chaos War: X-Men (2010) #1,Chaos War: X-Men (2010) #2,Jean Grey (2017) #10,Jean Grey (2017) #11,Jean Grey Vol. 2: Final Fight (Trade Paperback),Marauders (2019) #9,Marauders (2019) #23,New X-Men (Hardcover),New X-Men (2001) #123,New X-Men (2001) #124,New X-Men (2001) #125,New X-Men (2001) #126,New X-Men (2001) #134,New X-Men (2001) #135,New X-Men (2001) #136,New X-Men (2001) #137,New X-Men (2001) #138,,,,,,,,,,,,,,,
1274,Stephanie de la Spiroza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,Stephen Strange,Captain America (2002) #19,Captain America (2002) #20,New Avengers (2004) #44,Strange (2004) #1,Strange (2004) #2,Strange (2004) #3,STRANGE: BEGINNINGS AND ENDINGS TPB (Trade Paperback),The Mystic Hands of Doctor Strange (2010) #1,Universe X (2000) #2,Universe X (2000) #12,,,,,,,,,,,,,,,,,,,,,,,,,
1276,Steve Rogers,Avengers (2010) #1,Avengers (2010) #1 (HEROIC AGE VARIANT),Avengers (2010) #1 (ROMITA JR. VARIANT),Avengers (2010) #1 (DJURDJEVIC VARIANT),Avengers (2010) #1 (ROMITA SR. VARIANT),Avengers (2010) #1 (I AM AN AVENGER BLANK COVER VARIANT),Avengers (2010) #2,Avengers (2010) #8,Avengers (2010) #9,Avengers Academy Giant-Size (2010) #1,Avengers Forever (2021) #7,Avengers: Standoff (Trade Paperback),Bullet Points (Trade Paperback),Bullet Points (2006) #1,Bullet Points (2006) #2,Bullet Points (2006) #3,Bullet Points (2006) #4,Bullet Points (2006) #5,Captain America (1968) #265,Captain America Special (2015) #1,,,,,,,,,,,,,,,
1277,Stick,Daredevil (1998) #7,Daredevil (2011) #25,Daredevil (1964) #176,Daredevil (1964) #177,Daredevil (1964) #379,DAREDEVIL VISIONARIES: KEVIN SMITH TPB (Trade Paperback),Elektra (1996) #7,Elektra (1996) #14,Elektra (1996) #17,Elektra (1996) #18,Elektra (1996) #19,Elektra (2001) #19,Wolverine (1988) #100,Wolverine (1988) #103,Wolverine (1988) #105,Wolverine (1988) #110,Wolverine (1988) #111,,,,,,,,,,,,,,,,,,
1278,Stilt-Man (Wibur Day),Black Goliath (1976) #5,Daredevil (2011) #22,Daredevil (1998) #88,Daredevil (1964) #102,Daredevil (1964) #379,Daredevil Annual (1967) #1,DAREDEVIL EPIC COLLECTION: BROTHER, TAKE MY HAND TPB (Trade Paperback),Daredevil: The Devil, Inside and Out Vol. 2 (Trade Paperback),Marvel Masterworks: Daredevil Vol. 3 (Hardcover),Marvel Visionaries: Chris Claremont (Hardcover),Thor (1966) #269,,,,,,,,,,,,,,,,,,,,,,
1279,Stingray (Walter Newell),Alpha Flight (1983) #113,Avengers (1998) #1,Avengers (1998) #2,Avengers (1998) #3,Avengers (1998) #4,Avengers (1998) #43,Avengers (1998) #44,Avengers (1998) #46,Avengers (1998) #52,Avengers (1998) #53,Avengers (1998) #54,Avengers (1998) #55,Avengers Assemble (Hardcover),AVENGERS: THE KANG DYNASTY TPB (Trade Paperback),Deadpool (2015) #14,Deadpool & the Mercs for Money (2016) #1,Deadpool & the Mercs for Money (2016) #2,Deadpool & the Mercs for Money (2016) #3,Deadpool & the Mercs for Money (2016) #5,Deadpool & the Mercs for Money (2016) #8,,,,,,,,,,,,,,,
1280,Stone Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Storm,Age of Apocalypse: The Chosen (1995) #1,A+X (2012) #3,Age of X: Alpha (2010) #1,Alpha Flight (1983) #17,Alpha Flight (1983) #33,Alpha Flight (1983) #61,Alpha Flight (1983) #127,Astonishing X-Men (2004) #25,Astonishing X-Men (2004) #26,Astonishing X-Men (2004) #27,Astonishing X-Men (2004) #28,Astonishing X-Men (2004) #29,Astonishing X-Men (2004) #30,Astonishing X-Men (2004) #32,Astonishing X-Men (2004) #33,Astonishing X-Men (2004) #34,Astonishing X-Men (2004) #35,Astonishing X-Men (2004) #38,Astonishing X-Men (2004) #40,Astonishing X-Men (2004) #44,,,,,,,,,,,,,,,
1282,Storm (Age of Apocalypse),Astonishing X-Men (1995) #1,Official Handbook of the Marvel Universe (2004) #1,Official Handbook of the Marvel Universe (2004) #2,Official Handbook of the Marvel Universe (2004) #3,Official Handbook of the Marvel Universe (2004) #4,Official Handbook of the Marvel Universe (2004) #8,Official Handbook of the Marvel Universe (2004) #9 (THE WOMEN OF MARVEL),Official Handbook of the Marvel Universe (2004) #10 (MARVEL KNIGHTS),Official Handbook of the Marvel Universe (2004) #11 (X-MEN - AGE OF APOCALYPSE),Official Handbook of the Marvel Universe (2004) #12 (SPIDER-MAN),Official Handbook of the Marvel Universe (2004) #13 (TEAMS),X-Men: The Complete Age of Apocalypse Epic Book 3 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,
1283,Storm (Marvel Heroes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Storm (Ultimate),Ultimate Comics X-Men (2010) #23,Ultimate Extinction (2006) #5,Ultimate Galactus Trilogy (Hardcover),Ultimate Marvel Team-Up (2001) #11,Ultimate Marvel Team-Up Ultimate Collection (Trade Paperback),Ultimate War (2003) #2,Ultimate War (2003) #3,Ultimate War (2003) #4,Ultimate X-Men (2001) #1,Ultimate X-Men (2001) #2,Ultimate X-Men (2001) #3,Ultimate X-Men (2001) #4,Ultimate X-Men (2001) #5,Ultimate X-Men (2001) #6,Ultimate X-Men (2001) #7,Ultimate X-Men (2001) #8,Ultimate X-Men (2001) #9,Ultimate X-Men (2001) #10,Ultimate X-Men (2001) #11,Ultimate X-Men (2001) #12,,,,,,,,,,,,,,,
1285,Stranger,Avengers (1963) #138,Avengers (1963) #317,Captain America (1968) #150,Champions Classic: The Complete Collection (Trade Paperback),Marvel Masterworks: Ant-Man/Giant-Man Vol. 1 (Hardcover),MARVEL MASTERWORKS: ANT-MAN/GIANT-MAN VOL. 1 HC (Hardcover),Tales to Astonish (1959) #90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,Strong Guy,Exiles (2001) #8,Exiles Vol. II: A World Apart (Trade Paperback),Incredible Hulk Annual (1976) #20,New Mutants: Dead Souls (2018) #1,New Mutants: Dead Souls (2018) #2,Spider-Man/X-Factor: Shadowgames (1994) #1,Spider-Man/X-Factor: Shadowgames (1994) #2,Spider-Man/X-Factor: Shadowgames (1994) #3,The Secret X-Men (2022) #1,X-Factor (2005) #1,X-Factor (2005) #3,X-Factor (2005) #4,X-Factor (2005) #6,X-Factor (2005) #13,X-Factor (2005) #13 (variant),X-Factor (2005) #14,X-Factor (2005) #17,X-Factor (2005) #18,X-Factor (2005) #19,X-Factor (2005) #20,,,,,,,,,,,,,,,
1287,Stryfe,Askani'son (1996) #2,Askani'son (1996) #3,Askani'son (1996) #4,Cable (1993) #1,Cable (1993) #6,Cable (2008) #13,Cable (2008) #13 (MW, 50/50 Variant),Cable (2008) #14,Cable (2008) #14 (MW, 50/50 Variant),Cable (2008) #15,Cable (2008) #15 (MW, 50/50 Variant),Cable (1993) #25,Cable (1993) #63,Cable (1993) #75,Cable Classic Vol. 1 (Trade Paperback),Cable: Blood & Metal (1992) #1,Cable: Blood & Metal (1992) #2,Cable: The Last Hope Vol. 2 (Trade Paperback),Despicable Deadpool (2017) #290,Despicable Deadpool (2017) #291,,,,,,,,,,,,
1288,Stryfe (Ultimate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,Sub-Mariner,All Winners Comics 70th Anniversary Special (2009) #1,All-Winners Comics (1941) #1,All-Winners Comics (1941) #2,All-Winners Comics (1941) #3,All-Winners Comics (1941) #4,All-Winners Comics (1941) #5,All-Winners Comics (1941) #6,All-Winners Comics (1941) #7,All-Winners Comics (1941) #8,All-Winners Comics (1941) #9,All-Winners Comics (1941) #10,All-Winners Comics (1941) #11,All-Winners Comics (1941) #12,All-Winners Comics (1941) #13,All-Winners Comics (1941) #14,All-Winners Comics (1941) #15,All-Winners Comics (1941) #16,All-Winners Comics (1941) #17,All-Winners Comics (1941) #18,All-Winners Comics (1941) #19,,,,,,,,,,,,,,,
1290,Sue Storm,Captain America (2002) #18,Captain America (2002) #19,Captain America (2002) #20,Dark Avengers (2012) #186,Dark Avengers (2012) #190,Dark Reign: Zodiac (2009) #2,Fantastic Four (1961) #39,Fantastic Four Omnibus Vol. 2 (Hardcover),Fear Itself: The Worthy (2011) #1,Ultimate Fantastic Four (2003) #1,Ultimate Fantastic Four (2003) #2,Ultimate Fantastic Four (2003) #3,Ultimate Fantastic Four (2003) #4,Ultimate Fantastic Four (2003) #5,Ultimate Fantastic Four (2003) #6,Ultimate Fantastic Four (2003) #7,Ultimate Fantastic Four (2003) #8,Ultimate Fantastic Four (2003) #9,Ultimate Fantastic Four (2003) #10,Ultimate Fantastic Four (2003) #26,,,,,,,,,,,,,,,
1291,Sugar Man,Magneto (2014) #19,New Mutants (2009) #27,New Mutants (2009) #27 (I Am Captain America Variant),New Mutants (2009) #28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,Sumo,Master of Kung Fu (1974) #46,X-Force (1991) #7,X-Force (1991) #9,X-Force (1991) #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,Sunfire,Avengers Assemble Vol. 4 (Hardcover),Cable (1993) #76,Cable (1993) #77,Earth X (1999) #8,Earth X (1999) #9,Earth X (1999) #10,Earth X (1999) #12,EARTH X TPB [NEW PRINTING] (Trade Paperback),Exiles (2001) #7,Exiles (2001) #8,Exiles (2001) #9,Exiles (2001) #10,Exiles (2001) #11,Exiles (2001) #14,Exiles (2001) #15,Exiles (2001) #17,Exiles Vol. 3: Out of Time (Trade Paperback),Exiles Vol. II: A World Apart (Trade Paperback),Iron Man (1968) #67,Iron Man (1968) #68,,,,,,,,,,,,,,,
1294,Sunfire (Age of Apocalypse),Astonishing X-Men (1995) #1,Astonishing X-Men (1995) #3,Astonishing X-Men (1995) #4,Uncanny X-Force (2010) #12,Uncanny X-Force (2010) #12 (Kubert Variant),Uncanny X-Force (2010) #12 (I Am Captain America Variant),X-Men: The Complete Age of Apocalypse Epic Book 3 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Sunset Bain,Iron Man (1998) #4,Iron Man (1998) #12,Iron Man (1998) #18,Iron Man (1998) #19,Iron Man (1998) #20,Taskmaster (2002) #1,Taskmaster (2002) #2,Taskmaster (2002) #3,Taskmaster (2002) #4,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,Sunspot,Astonishing Tales (2009) #1,Astonishing Tales (2009) #2,Astonishing Tales (2009) #3,Astonishing Tales (2009) #4,Astonishing Tales (2009) #5,Avengers World (2014) #14,Cable (1993) #73,Cable (1993) #78,CLANDESTINE CLASSIC PREMIERE HC (Hardcover),Earth X (1999) #2,Earth X (1999) #3,Earth X (1999) #6,Earth X (1999) #11,EARTH X TPB [NEW PRINTING] (Trade Paperback),Fallen Angels (1987) #1,Fallen Angels (1987) #2,Fallen Angels (1987) #3,Fallen Angels (1987) #4,Fallen Angels (1987) #5,Fallen Angels (1987) #6,,,,,,,,,,,,,,,
1297,Super Hero Squad,Super Hero Squad (2010) #1,Super Hero Squad (2010) #2,Super Hero Squad (2010) #3,Super Hero Squad (2010) #4,Super Hero Squad (2010) #5,Super Hero Squad (2010) #6,Super Hero Squad (2010) #7,Super Hero Squad (2010) #8,Super Hero Squad (2010) #9,Super Hero Squad (2010) #10,Super Hero Squad (2010) #11,Super Hero Squad (2010) #12,Super Hero Squad MMO Magazine (2011) #1,Super Hero Squad Spectacular (2011) #1,SUPER HERO SQUAD: A SQUAD FOR ALL SEASONS GN-TPB (Trade Paperback),SUPER HERO SQUAD: SUPER HERO SAFARI GN-TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,
1298,Super-Adaptoid,Avengers (1996) #9,Avengers (1963) #290,Avengers: Earth's Mightiest Heroes II (2006) #3,Avengers: Earth's Mightiest Heroes II (2006) #7,Avengers: Earth's Mightiest Heroes II (2006) #8,Heroes Reborn: Avengers (Trade Paperback),Iron Man (1968) #51,Marvel Masterworks: The X-Men Vol. 3 DM Variant TPB (Trade Paperback),Marvel Masterworks: The X-Men Vol. 3 TPB (Trade Paperback),Uncanny X-Men (1963) #77,Uncanny X-Men (1963) #29,X-Men (2010) #39,,,,,,,,,,,,,,,,,,,,,,,
1299,Super-Skrull,Annihilation (2006) #5,Annihilation: Conquest (2007) #1,Annihilation: Conquest (2007) #2,Annihilation: Conquest (2007) #3,Annihilation: Super-Skrull (2006) #1,Annihilation: Super-Skrull (2006) #2,Annihilation: Super-Skrull (2006) #3,Annihilation: Super-Skrull (2006) #4,Annihilation: The Nova Corps (2006) #1,Avengers Unlimited Infinity Comic (2022) #51,Avengers: The Initiative (2007) #14,Avengers: The Initiative (2007) #14 (SPOTLIGHT VARIANT),Captain Marvel (1968) #2,Captain Marvel (1968) #3,Captain Marvel (2000) #8,Captain Marvel (2000) #9,Doctor Strange (2018) #3,Fantastic Four (1961) #32,Fantastic Four (1998) #37,Fantastic Four Annual (1963) #3,,,,,,,,,,,,,,,
1300,Supernaut,The Order (2007) #1,The Order (2007) #2,The Order (2007) #3,The Order (2007) #4,The Order (2007) #5,The Order (2007) #6,The Order (2007) #7,The Order (2007) #8,The Order (2007) #9,The Order (2007) #10,The Order Vol. 1: The Next Right Thing (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,
1301,Supreme Intelligence,Avengers (1998) #7,Avengers (1998) #35,Avengers Assemble (Hardcover),Avengers Assemble Vol. 4 (Hardcover),Captain Marvel (1968) #41,Captain Marvel (1968) #43,Captain Marvel (1968) #44,Captain Marvel (1968) #46,Silver Surfer (1987) #7,Silver Surfer (1987) #8,Silver Surfer (1987) #11,Universe X (2000) #6,Universe X (2000) #7,Universe X (2000) #8,Universe X (2000) #9,,,,,,,,,,,,,,,,,,,,
1302,Surge,Magneto: Not a Hero (2011) #1,New Mutants (2003) #9,New Mutants (2003) #11,New Mutants (2003) #12,New Mutants Classic Vol. 2 (Trade Paperback),New X-Men (2004) #28,New X-Men (2004) #44,New X-Men (2004) #44 (Variant),New X-Men (2004) #1,New X-Men (2004) #2,New X-Men (2004) #3,New X-Men (2004) #4,New X-Men (2004) #6,New X-Men (2004) #7,New X-Men (2004) #8,New X-Men (2004) #9,New X-Men (2004) #10,New X-Men: Childhood's End - The Complete Collection (Trade Paperback),New X-Men: Childhood's End Vol. 3 (Trade Paperback),Runaways (2008) #10,,,,,,,,,,,,,,,
1303,Surtur,Essential Thor Vol. 5 (Trade Paperback),Journey Into Mystery (2011) #626,Journey Into Mystery (2011) #627,Journey Into Mystery (2011) #629,Journey Into Mystery (2011) #631,Journey Into Mystery (2011) #636,Loki: Journey into Mystery by Kieron Gillen (Hardcover),Thor (1998) #37,Thor (1966) #176,Thor (1966) #177,Thor (1966) #346,Thor (1966) #351,Thor by Walter Simonson (Hardcover),THOR VISIONARIES: WALTER SIMONSON VOL. 2 TPB [NEW PRINTING] (Trade Paperback),Universe X (2000) #4,,,,,,,,,,,,,,,,,,,,
1304,Susan Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Swarm,Sensational Spider-Man (2006) #30,SPIDER-MAN BY TODD DEZAGO & MIKE WIERINGO VOL. 1 TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Sway,X-Men (2019) #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,Switch,Legion of X (2022) #2,Legion of X (2022) #3,Legion of X (2022) #4,Legion of X (2022) #5,X-Force (1991) #87,X-Force (1991) #88,X-Force (1991) #89,X-Force (1991) #90,,,,,,,,,,,,,,,,,,,,,,,,,,,
